Title,,Multiple,¥ (CNY),Link
Barrow 多色PC电脑水冷专用浓缩型冷液 可勾兑1000ML去离子导热液 [交易快照],Cooling Liquid,1,47.04,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=655366533729&mi_id=0000gKJmhZvaUKkQ_Lv1Y4876UPPVK0A_FAtMUY_tt874B8
ARGB机箱装饰5v三针灯条 LED幻彩变色AURA主板神光同步氛围灯带 [交易快照],ARGB Light,2,33.9,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=891034010727&mi_id=0000No76DqRsrzrPLVqM3gQx7XQXF495FpOmm3DynVi520A
亚克力薄片双面加硬亚克力板定制加工diy手工材料裁剪打孔塑料板 [交易快照],Acrylic Sheet,1,20,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=1004927544275&mi_id=0000xTJSgJac_pGyn8Y_FLu91YVWC15ppxD5A1dfMJRwPM4
笔记本散热铜管超薄导热管平板电脑散热管手机散热冷却管厚:1.0mm [交易快照],Copper Heatpipe,4,46.4,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=595853542727&mi_id=0000WmV3gRmcLtWJoW-8rxuUpHdBK21hAjvxu_HmKTzcEYQ
导热胶粘性 导热胶固化粘接导热管铜管 强粘性硅胶ST-988*5克 [交易快照],Thermal Plaster,3,16.7,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=19004921338&mi_id=0000KnW2D0QN-L2KLJ_vjcgJLoU2Sa5_HhPBO7G1XDw1jT8
笔记本电脑散热片纯紫铜散热鳍片翅片热管散热片长度可以DIY改造 [交易快照],Copper Heatsink,2,44.6,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=556392308394&mi_id=0000Ucj0mi9REKtC7KVLZY2wkjDDUkqdyBBgeAohHhI_Z5M
彩色液晶屏模块1.8/2.0/2.4/2.8/3.2/3.5寸TFT触摸显示屏SPI彩屏 [交易快照],TFT Screen,1,36.51,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=559064754163&mi_id=0000cz7aj1w5DFUZujHsNCa9lx2LmwaMv16ew5u-aODgH9w
704/705/706RTV硅橡胶耐高低温单组份室温固化硅胶驱动电子电器胶 [交易快照],RTV Silicone,1,11,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=850193498133&mi_id=0000eAVK7xkyN3u7cwUON6EAUDG6XW9iipPtQo8_Np2z-7Y
建准原装SUNON MGB0121V1-C000-S99 12V 6.08W一体机散热风扇 [交易快照],SUNON Fan,1,30,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=886873268094&mi_id=0000E3ex71E1xiQ8EPQQqRhcux0HHi905pIo4BzdDBGklE4
笔记本水冷双向止水阀双自锁快速接头模型液压油管接头M5M3螺纹铜 [交易快照],Fitting 1,2,89,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=728084749755&mi_id=0000b1qHCPBeKuaUHIG-DAVEbK2l8mC8aaOVMpOn8Ah18Fk
笔记本水冷双向止水阀双自锁快速接头模型液压油管接头M5M3螺纹铜 [交易快照],Fitting 2,2,,https://item.taobao.com/item.htm?spm=tbpc.boughtlist.suborder_itemtitle.1.59a22e8dsID6Nk&id=728084749755&mi_id=0000b1qHCPBeKuaUHIG-DAVEbK2l8mC8aaOVMpOn8Ah18Fk
