Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C21519,MPZ2012S601AT000,TDK,0805,,600Ω@100MHz 1 Line Ferrite Bead 0805 2A 100mΩ,yes,10,10,10,0.0245,0.25,https://www.lcsc.com/product-detail/C21519.html
2,C1710,CL21B103KBANNNC,Samsung Electro-Mechanics,0805,,10nF ±10% 50V Ceramic Capacitor X7R 0805,yes,50,50,50,0.0065,0.33,https://www.lcsc.com/product-detail/C1710.html
3,C17402,0805W8F1022T5E,UNI-ROYAL,0805,,10.2kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0024,0.24,https://www.lcsc.com/product-detail/C17402.html
4,C2933414,FRC0805F3241TS,FOJAN,0805,,3.24kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0019,0.19,https://www.lcsc.com/product-detail/C2933414.html
5,C576982,CC0805JRNPOCBN100,YAGEO,0805,,10pF ±5% 1kV Ceramic Capacitor 0805,yes,20,20,20,0.0254,0.51,https://www.lcsc.com/product-detail/C576982.html
6,C36576,0805B222K500NT,FH,0805,,2.2nF ±10% 50V Ceramic Capacitor X7R 0805,yes,20,20,20,0.0051,0.10,https://www.lcsc.com/product-detail/C36576.html
7,C49655954,GR0805F18K7T5G00,GiantOhm,0805,,125mW 18.7kΩ 150V Thick Film Resistor ±100ppm/℃ ±1% 0805 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0016,0.16,https://www.lcsc.com/product-detail/C49655954.html
8,C154751,SBR3U60P1-7,DIODES,PowerDI-123,,80A 60V 1 Independent 650mV@3A 3A PowerDI-123 Single Diodes RoHS,yes,5,5,5,0.1357,0.68,https://www.lcsc.com/product-detail/C154751.html
9,C2041695,SRN8040-8R2Y,BOURNS,"SMD,8.2x7.9mm",,"3.7A 8.2uH 4A 45mΩ ±30% SMD,8.2x7.9mm Fixed Inductors RoHS",yes,1,1,1,0.5130,0.51,https://www.lcsc.com/product-detail/C2041695.html
10,C5128355,08055C822KAT2A,Kyocera AVX,0805,,8.2nF X7R ±10% 50V 0805 Ceramic Capacitors RoHS,yes,10,10,10,0.0326,0.33,https://www.lcsc.com/product-detail/C5128355.html
11,C2930231,FRC0805J103TS,FOJAN,0805,,10kΩ ±5% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0018,0.18,https://www.lcsc.com/product-detail/C2930231.html
12,C2930156,FRC0805F3162TS,FOJAN,0805,,31.6kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0020,0.20,https://www.lcsc.com/product-detail/C2930156.html
13,C48579607,0805X7R106K250NT,AIDE CAPACITOR,0805,,10uF ±10% 25V Ceramic Capacitor X7R 0805,yes,10,10,10,0.0298,0.30,https://www.lcsc.com/product-detail/C48579607.html
14,C2933465,FRC0805F5232TS,FOJAN,0805,,52.3kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0021,0.21,https://www.lcsc.com/product-detail/C2933465.html
15,C5563736,MBRA340T3G-FS,FUXINSEMI,SMA(DO-214AC),,Diode Independent 40V 3A Surface Mount SMA(DO-214AC),yes,5,5,5,0.0733,0.37,https://www.lcsc.com/product-detail/C5563736.html
16,C49261459,AAPS0550M6R8F,Coilank,"SMD,5.5x5.3mm",,"6.4A 6.8uH 28.6mΩ 6.6A ±20% SMD,5.5x5.3mm Fixed Inductors RoHS",yes,1,1,1,0.8602,0.86,https://www.lcsc.com/product-detail/C49261459.html
17,C2933438,FRC0805F4022TS,FOJAN,0805,,40.2kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0020,0.20,https://www.lcsc.com/product-detail/C2933438.html
18,C1791,CL21C102JBCNNNC,Samsung Electro-Mechanics,0805,,1nF ±5% 50V Ceramic Capacitor C0G 0805,yes,10,10,10,0.0088,0.09,https://www.lcsc.com/product-detail/C1791.html
19,C2930163,FRC0805F1961TS,FOJAN,0805,,1.96kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0019,0.19,https://www.lcsc.com/product-detail/C2930163.html
20,C5378487,FEXL0430A-6R8M,cjiang,"SMD,4.1x4.1mm",,"3.9A 6.8uH 3.6A 74.1mΩ ±20% SMD,4.1x4.1mm Fixed Inductors RoHS",yes,1,1,1,1.1966,1.20,https://www.lcsc.com/product-detail/C5378487.html
21,C2837270,SS14,JSMSEMI,SMA(DO-214AC),,Diode 40V 1A Surface Mount SMA(DO-214AC),yes,50,50,50,0.0108,0.54,https://www.lcsc.com/product-detail/C2837270.html
22,C2933315,FRC0805F1403TS,FOJAN,0805,,140kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0019,0.19,https://www.lcsc.com/product-detail/C2933315.html
23,C17819,0805W8F7502T5E,UNI-ROYAL,0805,,75kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0020,0.20,https://www.lcsc.com/product-detail/C17819.html
24,C458928,0805B821K101CT,Walsin,0805,,820pF ±10% 100V Ceramic Capacitor X7R 0805,yes,50,50,50,0.0016,0.08,https://www.lcsc.com/product-detail/C458928.html
25,C327296,RC0805FR-07732RL-S,YAGEO,0805,,125mW 732Ω 150V Thick Film Resistor ±100ppm/℃ ±1% 0805 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0024,0.24,https://www.lcsc.com/product-detail/C327296.html
26,C52140417,74AHCT1G125GV,MDD(Microdiode Semiconductor),SOT-23-5L,,"4.5V~5.5V 1 1 1ns@4.5V 40uA SOT-23-5L Buffers, Drivers, Receivers, Transceivers RoHS",yes,1,1,1,0.0741,0.07,https://www.lcsc.com/product-detail/C52140417.html
27,C19795120,470533000,MOLEX,P=2.54mm,,"1 4P 4 2.54mm 4A 500V 1x4P P=2.54mm Headers, Male Pins RoHS",yes,5,5,5,0.3702,1.85,https://www.lcsc.com/product-detail/C19795120.html
28,C529355,STM32G431CBT6,ST,LQFP-48(7x7),,ARM Cortex-M4F 32 Bit 170MHz 38 LQFP-48(7x7) Microcontrollers RoHS,yes,5,1,1,3.0856,15.43,https://www.lcsc.com/product-detail/C529355.html
29,C9865,TPS54331DR,TI,SOIC-8,,570kHz Buck Adjustable 800mV~25V 3A 3.5V~28V SOIC-8 Voltage Regulators - DC DC Switching Regulators RoHS,yes,5,5,5,0.2767,1.38,https://www.lcsc.com/product-detail/C9865.html
30,C5368707,1.25mm-4P ZZ-MS,SHOU HAN,"Through Hole,P=1.25mm",,Connector Header 4 position 1.25mm Pitch 1A Through Hole -25℃~+85℃,yes,20,20,20,0.0230,0.46,https://www.lcsc.com/product-detail/C5368707.html
31,C97606,SC-32S32.768kHz20PPM12.5pF,Seiko,SMD3215-2P,,Crystal 32.768kHz ±20ppm 12.5pF SMD3215-2P,yes,5,5,5,0.1828,0.91,https://www.lcsc.com/product-detail/C97606.html
32,C49234124,HX 3x4x2-2P-1.6N TACTILE SWITCH,hanxia,"SMD,4x3mm",,Tactile Switch SPST 160gf 2mm SMD (SMT) Tab 4mm x 3mm Surface Mount,yes,20,20,20,0.0192,0.38,https://www.lcsc.com/product-detail/C49234124.html
33,C17673,0805W8F4701T5E,UNI-ROYAL,0805,,4.7kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0019,0.19,https://www.lcsc.com/product-detail/C17673.html
34,C25293,0805W8J0200T5E,UNI-ROYAL,0805,,20Ω ±5% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0019,0.19,https://www.lcsc.com/product-detail/C25293.html
35,C25170728,YLED0805G,YONGYUTAI,0805,,Emerald Green 525nm LED Indication - Discrete 2.4V~3.1V 0805,yes,50,50,50,0.0084,0.42,https://www.lcsc.com/product-detail/C25170728.html
36,C476766,C0805B104K500NT,TORCH,0805,,100nF ±10% 50V Ceramic Capacitor X7R 0805,yes,25,25,25,0.0034,0.09,https://www.lcsc.com/product-detail/C476766.html
